BOM file,,,,,,,,,
Ground,,,,,,,,,
ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,22pF,"C1,C2",C0603,2,CL10C220JB8NNNC,SAMSUNG,LCSC,C1653,0.037
2,0.1uF,C3,C0603,1,0603BB104K500NGT,Knowles(楼氏),LCSC,C2168571,3.29
3,XH-5A_C26521,CN1,CONN-TH_5P-P2.50_XH-5A,1,XH-5A,ReliaPro,LCSC,C26521,0.0594
4,MICRO-USB-BF-5P,CN2,MICRO-USB_FEMALE_A01SB,1,MICRO 5PFemaleBtype,ValuePro,LCSC,C46390,0.388
5,HDR-F-2.54_1x8,H4,HDR-F-2.54_1X8,1,,,LCSC,C225505,0.9613
6,HDR-F-2.54_1x2,H5,HDR-F-2.54_1X2,1,,,LCSC,C49661,0.2287
7,15-21SYGC/S530-E1/TR8,"LED1,LED2",LED1206-RD_GREEN,2,15-21SYGC/S530-E1/TR8,Everlight Elec,LCSC,C409439,0.1758
8,0Ω,"R1,R4,R5",R0805,3,ACE05000JT,Guangdong Fenghua Advanced Tech,LCSC,C343926,0.0165
9,9kΩ,"R2,R3",R0603,2,0603WAF9001T5E,Uniroyal Elec,LCSC,C407505,0.0068
10,KH-10027B-SMT2.54-4P,"SW1,SW2",SW-SMD_KINGHELM_KH-10027B-SMT2.54-4P,2,KH-10027B-SMT2.54-4P,kinghelm(金航标),LCSC,C2842911,2.43
11,E22-400T30S,U1,WIRELM-SMD_E22-400T30S,1,E22-400T30S,Chengdu Ebyte Elec Tech,LCSC,C411288,78.81
12,SMA-J-P-H-RA-TH1,U2,ANT-TH_SMA-J-P-H-RA-TH1,1,SMA-J-P-H-RA-TH1,null,LCSC,C9900002359,1.5
13,CH340G,U4,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,CH340G,WCH,LCSC,C14267,2.82
14,USB-A,USB1,USB-A-SMD_USB-A-1-TH,1,A/M Stick plate bent legs VinylPBT With a column,ValuePro,LCSC,C46394,0.5813
15,49SMD12.2896M20PF20PPMROHS,X2,OSC-SMD_L11.4-W4.5-LS12.5,1,49SMD12.2896M20PF20PPMROHS,LCSC,LCSC,C52074,0.5481
16,2543U-104CNG1SNT01,H1,HDR-TH_4P-P2.00-V-F,1,2543U-104CNG1SNT01,华宇创,LCSC,C350271,0.6379
,,,,,,,,,
Sky,,,,,,,,,
ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,XH-5A_C26521,CN1,CONN-TH_5P-P2.50_XH-5A,1,XH-5A,ReliaPro,LCSC,C26521,0.0594
2,15-21SYGC/S530-E1/TR8,LED1,LED1206-RD_GREEN,1,15-21SYGC/S530-E1/TR8,Everlight Elec,LCSC,C409439,0.1758
3,0Ω,"R1,R4",R0805,2,ACE05000JT,Guangdong Fenghua Advanced Tech,LCSC,C343926,0.0165
4,9kΩ,"R2,R3",R0603,2,0603WAF9001T5E,Uniroyal Elec,LCSC,C407505,0.0068
5,KH-10027B-SMT2.54-4P,SW1,SW-SMD_KINGHELM_KH-10027B-SMT2.54-4P,1,KH-10027B-SMT2.54-4P,kinghelm(金航标),LCSC,C2842911,2.43
6,E22-400T30S,U1,WIRELM-SMD_E22-400T30S,1,E22-400T30S,Chengdu Ebyte Elec Tech,LCSC,C411288,78.81
7,SMA-J-P-H-RA-TH1,U2,ANT-TH_SMA-J-P-H-RA-TH1,1,SMA-J-P-H-RA-TH1,null,LCSC,C9900002359,
8,2543U-104CNG1SNT01,H1,HDR-TH_4P-P2.00-V-F,1,2543U-104CNG1SNT01,华宇创,LCSC,C350271,0.6379
